contact_id,first_name,last_name,email,phone,company_id,lifecycle_stage,is_subscribed,lead_source,preferred_contact_method,is_decision_maker
253,May,Hogan,may.hogan@fusiongroup.com,555-0509,210,salesqualifiedlead,No,Webinar,SMS,False
254,Bruce,Carter,bruce.carter@acmecollective.com,555-0080,263,lead,1,Cold Outreach,Email,False
255,Miles,Barton,miles.barton@nimbusholdings.com,555-0618,141,evangelist,False,Referral,SMS,False
256,Carol,Danvers,carol.danvers@duffco.com,555-0524,7,lead,True,Webinar,Phone,False
257,Happy,Barton,happy.barton@anchorinc.com,555-0439,161,customer,False,Organic Search,Email,True
258,Steve,Doe,steve.doe@massivetechnologies.com,555-0429,182,evangelist,False,Cold Outreach,Email,True
259,Richard,Sharp,richard.sharp@summitenterprises.com,555-0818,170,opportunity,False,Organic Search,Phone,True
260,Hope,Barnes,hope.barnes@piedpiperllc.com,555-0985,56,marketingqualifiedlead,1,Partner,Phone,No
261,Jane,Osborn,jane.osborn@oscorpcorp.com,555.0238,198,salesqualifiedlead,1,Webinar,SMS,False
262,Carol,Weasley,carol.weasley@beaconlabs.com,555-0489,67,salesqualifiedlead,True,Webinar,Phone,False
263,Bill,Rogers,bill.rogers@fusionholdings.com,555.0469,258,lead,False,Trade Show,Phone,False
264,Happy,Potts,happy.potts@waynesystems.com,555-0902,47,marketingqualifiedlead,False,Organic Search,Phone,True
265,Kate,Leeds,kate.leeds@novastudio.com,555-0097,94,subscriber,0,Cold Outreach,SMS,True
266,Cave,VanDyne,cave.vandyne@gringottsllc.com,555.0377,284,opportunity,False,Organic Search,No Preference,0
267,Vision,Brown,vision.brown@gringottspartners.com,555-0691,38,salesqualifiedlead,False,Webinar,No Preference,Yes
268,Gavin,Hendricks,gavin.hendricks@siriusventures.com,(555) 0069,238,customer,True,Organic Search,SMS,True
269,Jane,Stark,jane.stark@stellarcorp.com,555.0400,64,customer,False,Cold Outreach,Phone,1
270,Hope,Johnson,hope.johnson@stellarlabs.com,555-0830,25,customer,True,Organic Search,SMS,True
271,Sara,Barnes,sara.barnes@piedpipercorp.com,555.0244,128,salesqualifiedlead,1,Cold Outreach,Phone,True
272,Duffman,Stark,duffman.stark@novasystems.com,555-0045,86,subscriber,False,Trade Show,Phone,False
273,May,Belson,may.belson@duffgroup.com,5550177,55,subscriber,False,Webinar,Email,False
274,Kate,Wilson,kate.wilson@piedpipertechnologies.com,555-0785,112,subscriber,True,Cold Outreach,Email,False
275,Richard,Barton,richard.barton@starksystems.com,555-0682,163,marketingqualifiedlead,No,Organic Search,Phone,True
276,Duffman,Smith,duffman.smith@stellarcorp.com,555-0755,64,lead,True,Webinar,SMS,True
277,Nina,Barnes,nina.barnes@beaconpartners.com,555-0742,20,salesqualifiedlead,False,Webinar,SMS,True
278,Wong,Parker,wong.parker@oscorpworks.com,555-0234,148,marketingqualifiedlead,True,Trade Show,Email,True
279,Duffman,Barnes,duffman.barnes@novastudio.com,+1-555-0006,94,subscriber,True,Partner,Phone,True
280,Bruce,Osborn,bruce.osborn@waynetechnologies.com,555-0080,105,salesqualifiedlead,True,Webinar,No Preference,0
281,Steve,Carter,steve.carter@novaholdings.com,555-0800,104,marketingqualifiedlead,True,Organic Search,No Preference,False
282,Nina,Rhodes,nina.rhodes@duffllc.com,555-0085,196,marketingqualifiedlead,True,Trade Show,Phone,False
283,Steve,Potts,steve.potts@orbitsolutions.com,555-0073,288,customer,True,Webinar,Email,Yes
284,Rhodey,Danvers,rhodey.danvers@compasssystems.com,555-0382,203,marketingqualifiedlead,True,Organic Search,Email,True
285,Bucky,Weasley,bucky.weasley@stellartechnologies.com,555-0789,224,customer,False,Partner,SMS,False
286,May,Keys,may.keys@siriusinc.com,555-0370,18,customer,0,Cold Outreach,No Preference,True
287,Derek,Keys, derek.keys@duffdynamics.com ,+1-555-0789,83,salesqualifiedlead,True,Trade Show,Phone,True
288,May,Shepherd,may.shepherd@apexpartners.com,555-0674,257,opportunity,False,Partner,Email,Yes
289,Nina,Grey,nina.grey@oscorpenterprises.com,555-0006,204,evangelist,True,Referral,No Preference,False
290,May,Weasley,may.weasley@cyberdynestudio.com,555-0202,96,opportunity,False,Trade Show,Phone,1
291,Norman,Dyson,norman.dyson@fusiongroup.com,555-0934,210,evangelist,True,Cold Outreach,Email,False
292,Tom,Barton,tom.barton@horizonventures.com,555-0688,121,subscriber,1,Partner,Email,1
293,Bucky,Pym,bucky.pym@apexdynamics.com,555-0484,137,opportunity,False,Partner,SMS,True
294,Sam,Danvers,sam.danvers@prismtechnologies.com,555-0894,30,subscriber,No,Partner,Phone,1
295,Wong,Grey,wong.grey@piedpipercorp.com,555-0633,128,evangelist,False,Partner,Phone,Yes
296,Jane,Wilson,jane.wilson@atlascollective.com,555-0239,167,salesqualifiedlead,True,Cold Outreach,No Preference,False
297,Tony,Barnes,tony.barnes@massivepartners.com,555-0890,100,opportunity,True,Webinar,No Preference,False
298,Scott,Potts,scott.potts@cobaltinc.com,555-0493,229,lead,0,Partner,Email,1
299,Bill,Maximoff,bill.maximoff@cyberdynecollective.com,555-0263,144,customer,0,Trade Show,No Preference,Yes
300,Duffman,Hardy,duffman.hardy@horizonsystems.com,555-0760,194,salesqualifiedlead,False,Webinar,Phone,False
301,Bruce,Belson,bruce.belson@titanllc.com,555-0118,97,lead,False,Trade Show,Email,True
302,Bucky,Leeds,bucky.leeds@nimbustechnologies.com,555-0956,187,opportunity,True,Referral,No Preference,No
303,Wanda,Sharp,wanda.sharp@anchorgroup.com,555-0511,152,lead,True,Partner,Email,False
304,Vision,Belson,vision.belson@meridianco.com,5550848,294,customer,True,Cold Outreach,Phone,True
305,Duffman,Connor,duffman.connor@nimbusdynamics.com,555-0744,92,evangelist,True,Referral,No Preference,False
306,Natasha,Danvers,natasha.danvers@starkglobal.com,555-0289,271,lead,False,Referral,Phone,True
307,Steve,Potts,steve.potts@atlasllc.com,555-0712,296,lead,0,Partner,Email,True
308,Nina,Barnes,nina.barnes@initechdynamics.com,555-0172,219,subscriber,False,Webinar,Email,Yes
309,Janet,Leeds,janet.leeds@gringottstechnologies.com,+1-555-0121,207,marketingqualifiedlead,True,Partner,No Preference,True
310,Happy,Barnes,happy.barnes@dufflabs.com,555.0122,228,salesqualifiedlead,True,Referral,No Preference,True
311,Janet,Osborn,janet.osborn@duffsystems.com,555.0128,223,customer,True,Organic Search,Email,False
312,Tom,Pym,tom.pym@prismstudio.com,555-0809,276,evangelist,True,Webinar,Phone,No
313,Wanda,Belson,wanda.belson@starkventures.com,5550165,295,evangelist,True,Referral,SMS,True
314,May,Doe,may.doe@starkdynamics.com,555-0531,24,marketingqualifiedlead,False,Webinar,No Preference,False
315,Kamala,Khan,kamala.khan@duffcollective.com,(555) 0045,51,lead,True,Webinar,Phone,False
316,Richard,Leeds,richard.leeds@novapartners.com,555-0665,131,salesqualifiedlead,False,Partner,No Preference,True
317,Hope,Johnson,hope.johnson@nimbusventures.com,555-0713,138,customer,True,Organic Search,Phone,False
318,Bucky,Smith,bucky.smith@summitholdings.com,555-0127,127,customer,True,Cold Outreach,Email,False
319,Meredith,Sharp,meredith.sharp@orbitco.com,555-0100,116,lead,True,Referral,Phone,False
320,Janet,VanDyne,janet.vandyne@waynelabs.com,5550886,179,opportunity,1,Webinar,SMS,False
321,Norman,Romanoff,norman.romanoff@dufftechnologies.com,555-0903,273,salesqualifiedlead,False,Referral,Phone,True
322,Bucky,Grey,bucky.grey@duffglobal.com,555-0255,190,salesqualifiedlead,True,Organic Search,SMS,False
323,Meredith,Leeds,meredith.leeds@aperturecollective.com,5550878,118,salesqualifiedlead,True,Partner,Email,0
324,Bruce,Weasley,bruce.weasley@quantumgroup.com,555-0567,44,evangelist,False,Partner,Phone,True
325,Carol,Doe,carol.doe@vertexllc.com,555-0719,4,marketingqualifiedlead,1,Trade Show,No Preference,True
326,Norman,Hardy,norman.hardy@meridiangroup.com,+1-555-0975,69,salesqualifiedlead,1,Cold Outreach,Phone,True
327,Peggy,Rogers,peggy.rogers@orbitholdings.com,555-0755,136,salesqualifiedlead,Yes,Partner,Email,False
328,Sara,Romanoff,sara.romanoff@novapartners.com,555-0005,307,customer,Yes,Referral,Email,True
329,Bruce,Pym,bruce.pym@starkcollective.com,555-0935,79,lead,False,Webinar,No Preference,False
330,Sam,Leeds,sam.leeds@lanternnetworks.com,555-0111,275,customer,True,Webinar,SMS,True
331,Natasha,Dyson,NATASHA.DYSON@QUANTUMINC.COM,555-0404,146,marketingqualifiedlead,True,Partner,Phone,False
332,Gavin,Parker,gavin.parker@atlassystems.com,+1-555-0731,254,opportunity,False,Webinar,Email,True
333,Richard,Sharp,richard.sharp@duffco.com,5550242,7,salesqualifiedlead,True,Organic Search,No Preference,False
334,Bruce,Leeds,bruce.leeds@starkcollective.com,555.0191,79,evangelist,True,Partner,No Preference,1
335,Vision,Osborn,vision.osborn@vectorgroup.com,555-0135,77,marketingqualifiedlead,True,Organic Search,Email,True
336,Sara,Barnes,sara.barnes@zenithworks.com,+1-555-0236,157,salesqualifiedlead,No,Partner,Email,False
337,Sam,Grey,sam.grey@beaconindustries.com,555.0916,215,subscriber,Yes,Webinar,SMS,True
338,May,Osborn,may.osborn@cyberdyneholdings.com,555.0311,252,customer,True,Cold Outreach,SMS,False
339,Janet,Pym,janet.pym@anchorpartners.com,555-0215,122,subscriber,True,Partner,Email,0
340,Miles,Hogan,miles.hogan@nimbusstudio.com,555-0633,39,customer,True,Trade Show,Phone,0
341,Peter,Bishop,peter.bishop@hooliholdings.com,555-0916,287,customer,False,Referral,No Preference,True
342,Bill,Grey,bill.grey@beaconlabs.com,555-0978,67,evangelist,True,Partner,No Preference,True
343,Bill,Hogan,bill.hogan@siriusgroup.com,555-0399,197,marketingqualifiedlead,1,Webinar,Phone,True
344,Vision,Potts,vision.potts@apexglobal.com,5550872,269,opportunity,0,Referral,Phone,True
345,Meredith,Hendricks,meredith.hendricks@apextechnologies.com,555-0254,27,lead,True,Partner,SMS,False
346,Wanda,Wayne,wanda.wayne@massivenetworks.com,555-0136,282,opportunity,True,Partner,Email,True
347,Meredith,Osborn,meredith.osborn@nimbusglobal.com,555-0888,9,evangelist,False,Partner,SMS,True
348,Ned,Beer,ned.beer@waynetechnologies.com,555-0827,105,salesqualifiedlead,0,Partner,No Preference,False
349,Bruce,VanDyne,bruce.vandyne@atlasstudio.com,+1-555-0180,95,customer,Yes,Referral,SMS,0
350,Carol,Dyson,carol.dyson@initechcorp.com,555-0465,37,salesqualifiedlead,0,Partner,Email,False
351,Bucky,Smith,bucky.smith@duffco.com,555-0659,7,lead,1,Cold Outreach,Phone,True
352,John,Stark,john.stark@gringottsstudio.com,+1-555-0087,174,evangelist,False,Webinar,SMS,True
353,Alicia,Connor,alicia.connor@apexdynamics.com,555.0126,137,subscriber,True,Trade Show,No Preference,0
354,Jane,Beer,jane.beer@prismglobal.com,+1-555-0293,76,customer,True,Organic Search,Phone,True
355,Tony,Carter,tony.carter@vectornetworks.com,555-0945,171,subscriber,True,Webinar,No Preference,True
356,May,Sharp,may.sharp@meridiansystems.com,555-0293,155,subscriber,False,Partner,SMS,True
357,John,Sharp,john.sharp@prismglobal.com,555-0399,76,evangelist,False,Referral,Email,False
358,Nina,Wayne,nina.wayne@horizonglobal.com,555-0394,66,salesqualifiedlead,False,Trade Show,SMS,0
359,Bucky,Parker,bucky.parker@prismstudio.com,555-0545,276,lead,False,Trade Show,Phone,True
360,Sam,Doe,sam.doe@nimbusglobal.com,555-0485,9,subscriber,Yes,Cold Outreach,Phone,True
361,Scott,Parker,SCOTT.PARKER@COBALTSYSTEMS.COM,(555) 0141,115,salesqualifiedlead,False,Cold Outreach,Email,True
362,Pepper,Weasley,pepper.weasley@acmeenterprises.com,+1-555-0250,188,lead,False,Partner,Phone,False
363,Pepper,Parker,pepper.parker@dufflabs.com,555.0711,228,lead,1,Trade Show,Phone,True
364,Carol,Leeds,carol.leeds@novanetworks.com,5550849,233,customer,0,Cold Outreach,Email,True
365,Cave,Danvers,cave.danvers@cyberdyneworks.com,555-0842,113,opportunity,True,Partner,No Preference,False
366,Bucky,Weasley,bucky.weasley@duffsolutions.com,555.0199,191,subscriber,False,Referral,Phone,True
367,Tom,Johnson,tom.johnson@lanternstudio.com,555-0206,159,subscriber,1,Trade Show,Email,False
368,Mike,Connor, mike.connor@lanternstudio.com ,555-0365,159,salesqualifiedlead,False,Organic Search,SMS,True
369,Clint,Parker,clint.parker@fusionholdings.com,555-0826,258,subscriber,False,Organic Search,Email,True
370,Happy,Wayne,happy.wayne@apertureinc.com,555-0237,48,evangelist,True,Partner,Phone,False
371,Ned,Hendricks,ned.hendricks@soylentcorp.com,555-0962,185,customer,False,Webinar,Phone,True
372,Nina,VanDyne,nina.vandyne@beaconcorp.com,555-0891,8,evangelist,True,Organic Search,Email,True
373,Peggy,Weasley,peggy.weasley@atlasllc.com,+1-555-0091,296,marketingqualifiedlead,False,Organic Search,Phone,False
374,Mike,Wilson,mike.wilson@quantumindustries.com,555-0634,206,lead,False,Cold Outreach,Email,False
375,Derek,Brown,derek.brown@prismtechnologies.com,555-0250,30,opportunity,1,Cold Outreach,No Preference,No
376,Tom,Beer,tom.beer@acmecorp.com,555-0357,237,customer,False,Referral,Email,1
377,Carol,Leeds,carol.leeds@compassllc.com,555-0350,169,salesqualifiedlead,No,Referral,SMS,True
378,Pepper,Sharp,pepper.sharp@atlaslabs.com,555-0615,164,subscriber,False,Organic Search,No Preference,0
379,Jane,Leeds,jane.leeds@novallc.com,555.0070,91,marketingqualifiedlead,False,Organic Search,Phone,False
380,Norman,Connor,norman.connor@quantumholdings.com,(555) 0771,220,marketingqualifiedlead,False,Organic Search,Phone,False
381,Natasha,Barnes,natasha.barnes@orbitsolutions.com,(555) 0611,288,marketingqualifiedlead,False,Referral,Phone,True
382,Rhodey,Maximoff,rhodey.maximoff@atlascorp.com,+1-555-0739,209,evangelist,False,Partner,Email,0
383,Peter,Khan,peter.khan@horizonsystems.com,555-0214,194,customer,True,Cold Outreach,SMS,Yes
384,Vision,Belson,vision.belson@siriusworks.com,555-0360,234,opportunity,False,Referral,Phone,False
385,Norman,Bishop,norman.bishop@fusionlabs.com,555-0291,278,customer,False,Partner,Email,True
386,Bruce,Smith,bruce.smith@gringottsdynamics.com,555-0767,211,opportunity,No,Trade Show,Email,False
387,Cave,Beer,cave.beer@oscorpnetworks.com,555-0200,283,subscriber,False,Organic Search,No Preference,Yes
388,Duffman,Lang,duffman.lang@orbitholdings.com,555-0924,136,salesqualifiedlead,True,Organic Search,Email,0
389,Sam,Pym,sam.pym@starksystems.com,555-0982,163,salesqualifiedlead,No,Webinar,No Preference,False
390,Richard,Barnes,richard.barnes@waynestudio.com,555-0325,89,salesqualifiedlead,0,Trade Show,Email,False
391,Derek,Bishop,derek.bishop@horizonenterprises.com,555.0095,166,customer,True,Referral,Email,True
392,Richard,Potts,richard.potts@meridiandynamics.com,555-0668,184,marketingqualifiedlead,0,Partner,No Preference,True
393,Meredith,Wayne,meredith.wayne@soylentindustries.com,555-0593,12,subscriber,True,Referral,Phone,True
394,Bruce,Hardy,bruce.hardy@wayneworks.com,555-0212,186,salesqualifiedlead,False,Referral,No Preference,True
395,Cave,Parker,cave.parker@anchorinc.com,555-0461,161,lead,True,Partner,Email,Yes
396,Natasha,Rhodes, natasha.rhodes@anchorlabs.com ,555-0534,280,subscriber,1,Trade Show,Email,True
397,Cave,Wilson, cave.wilson@piedpipertechnologies.com ,(555) 0141,112,marketingqualifiedlead,True,Referral,SMS,False
398,Happy,VanDyne,happy.vandyne@summitpartners.com,5550256,205,salesqualifiedlead,Yes,Webinar,Phone,False
399,May,Hogan,may.hogan@piedpiperglobal.com,+1-555-0637,140,salesqualifiedlead,Yes,Cold Outreach,Email,True
400,Vision,Shepherd,vision.shepherd@duffpartners.com,555-0898,151,opportunity,True,Referral,Phone,False
